EAN;Marka;Rodzina;Kod modelu;Model;Moc kW;Typ jednostki;Rewizja;Źródło
5905567608964;Rotenso;Elis;E21Xi R18;Elis 2,1 kW (E21Xi R18);2,1;JW;R18;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614316;Rotenso;Elis;E26Xi R17;Elis 2,6 kW (E26Xi R17);2,6;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614330;Rotenso;Elis;E35Xi R17;Elis 3,5 kW (E35Xi R17);3,5;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614378;Rotenso;Elis;EO35Xo R17;Elis 3,5 kW (EO35Xo R17);3,5;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614385;Rotenso;Elis;EO50Xo R17;Elis 5,0 kW (EO50Xo R17);5,0;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601330;Rotenso;Elis;EO70Xo R15;Elis 7,0 kW (EO70Xo R15);7,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601378;Rotenso;Elis Silver;ES70Xi R15;Elis Silver 7,0 kW (ES70Xi R15);7,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608926;Rotenso;Fresh;FH26Xi R16;Fresh 2,6 kW (FH26Xi R16);2,6;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608933;Rotenso;Fresh;FH26Xo R16;Fresh 2,6 kW (FH26Xo R16);2,6;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608940;Rotenso;Fresh;FH35Xi R16;Fresh 3,5 kW (FH35Xi R16);3,5;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600760;Rotenso;Imoto;I21Xi R14;Imoto 2,1 kW (I21Xi R14);2,1;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608735;Rotenso;Imoto;I21Xi R15;Imoto 2,1 kW (I21Xi R15);2,1;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600777;Rotenso;Imoto;I26Xi R14;Imoto 2,6 kW (I26Xi R14);2,6;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
