EAN;Marka;Rodzina;Kod modelu;Model;Moc kW;Typ jednostki;Rewizja;Źródło
5905567608742;Rotenso;Imoto;I26Xi R15;Imoto 2,6 kW (I26Xi R15);2,6;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600784;Rotenso;Imoto;I26Xo R14;Imoto 2,6 kW (I26Xo R14);2,6;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608759;Rotenso;Imoto;I26Xo R15;Imoto 2,6 kW (I26Xo R15);2,6;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600791;Rotenso;Imoto;I35Xi R14;Imoto 3,5 kW (I35Xi R14);3,5;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608766;Rotenso;Imoto;I35Xi R15;Imoto 3,5 kW (I35Xi R15);3,5;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600807;Rotenso;Imoto;I35Xo R14;Imoto 3,5 kW (I35Xo R14);3,5;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608773;Rotenso;Imoto;I35Xo R15;Imoto 3,5 kW (I35Xo R15);3,5;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600814;Rotenso;Imoto;I50Xi R14;Imoto 5,0 kW (I50Xi R14);5,0;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608780;Rotenso;Imoto;I50Xi R15;Imoto 5,0 kW (I50Xi R15);5,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600821;Rotenso;Imoto;I50Xo R14;Imoto 5,0 kW (I50Xo R14);5,0;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608797;Rotenso;Imoto;I50Xo R15;Imoto 5,0 kW (I50Xo R15);5,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600838;Rotenso;Imoto;I70Xi R14;Imoto 7,0 kW (I70Xi R14);7,0;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608803;Rotenso;Imoto;I70Xi R15;Imoto 7,0 kW (I70Xi R15);7,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600845;Rotenso;Imoto;I70Xo R14;Imoto 7,0 kW (I70Xo R14);7,0;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608810;Rotenso;Imoto;I70Xo R15;Imoto 7,0 kW (I70Xo R15);7,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608667;Rotenso;Luve;LO26Xo R16;Luve 2,6 kW (LO26Xo R16);2,6;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608728;Rotenso;Luve;LO50Xo R16;Luve 5,0 kW (LO50Xo R16);5,0;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608681;Rotenso;Luve Black;LB35Xi R16;Luve Black 3,5 kW (LB35Xi R16);3,5;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567605918;Rotenso;Mirai;M26Xi R15;Mirai 2,6 kW (M26Xi R15);2,6;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606793;Rotenso;Mirai;M26Xo R15;Mirai 2,6 kW (M26Xo R15);2,6;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600852;Rotenso;Mirai;M35Xi R15;Mirai 3,5 kW (M35Xi R15);3,5;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600869;Rotenso;Mirai;M35Xo R15;Mirai 3,5 kW (M35Xo R15);3,5;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601125;Rotenso;Revio;RO26Xi R14;Revio 2,6 kW (RO26Xi R14);2,6;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601163;Rotenso;Revio;RO26Xo R14;Revio 2,6 kW (RO26Xo R14);2,6;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601132;Rotenso;Revio;RO35Xi R14;Revio 3,5 kW (RO35Xi R14);3,5;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601170;Rotenso;Revio;RO35Xo R14;Revio 3,5 kW (RO35Xo R14);3,5;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606229;Rotenso;Revio;RO50Xi R14;Revio 5,0 kW (RO50Xi R14);5,0;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606236;Rotenso;Revio;RO50Xo R14;Revio 5,0 kW (RO50Xo R14);5,0;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601156;Rotenso;Revio;RO70Xi R14;Revio 7,0 kW (RO70Xi R14);7,0;JW;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601194;Rotenso;Revio;RO70Xo R14;Revio 7,0 kW (RO70Xo R14);7,0;JZ;R14;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614408;Rotenso;Roni;R26Xi R17;Roni 2,6 kW (R26Xi R17);2,6;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614422;Rotenso;Roni;R26Xo R17;Roni 2,6 kW (R26Xo R17);2,6;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614439;Rotenso;Roni;R35Xi R17;Roni 3,5 kW (R35Xi R17);3,5;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614446;Rotenso;Roni;R35Xo R17;Roni 3,5 kW (R35Xo R17);3,5;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567609091;Rotenso;Roni;R35Xo R18;Roni 3,5 kW (R35Xo R18);3,5;JZ;R18;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614453;Rotenso;Roni;R50Xi R17;Roni 5,0 kW (R50Xi R17);5,0;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614460;Rotenso;Roni;R50Xo R17;Roni 5,0 kW (R50Xo R17);5,0;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614477;Rotenso;Roni;R70Xi R17;Roni 7,0 kW (R70Xi R17);7,0;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614484;Rotenso;Roni;R70Xo R17;Roni 7,0 kW (R70Xo R17);7,0;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567609138;Rotenso;Roni;R70Xo R18;Roni 7,0 kW (R70Xo R18);7,0;JZ;R18;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606489;Rotenso;Teta;TA26Xi R16;Teta 2,6 kW (TA26Xi R16);2,6;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615023;Rotenso;Teta;TA26Xi R17;Teta 2,6 kW (TA26Xi R17);2,6;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601248;Rotenso;Teta;TA35Xi R16;Teta 3,5 kW (TA35Xi R16);3,5;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615030;Rotenso;Teta;TA35Xi R17;Teta 3,5 kW (TA35Xi R17);3,5;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601255;Rotenso;Teta;TA50Xi R16;Teta 5,2 kW (TA50Xi R16);5,2;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615047;Rotenso;Teta;TA50Xi R17;Teta 5,2 kW (TA50Xi R17);5,2;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615054;Rotenso;Teta;TA70Xi R17;Teta 7,0 kW (TA70Xi R17);7,0;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606502;Rotenso;Teta;TO26Xo R16;Teta 2,6 kW (TO26Xo R16);2,6;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615108;Rotenso;Teta;TO26Xo R17;Teta 2,6 kW (TO26Xo R17);2,6;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601224;Rotenso;Teta;TO35Xo R16;Teta 3,5 kW (TO35Xo R16);3,5;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615115;Rotenso;Teta;TO35Xo R17;Teta 3,5 kW (TO35Xo R17);3,5;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601231;Rotenso;Teta;TO50Xo R16;Teta 5,2 kW (TO50Xo R16);5,2;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615122;Rotenso;Teta;TO50Xo R17;Teta 5,2 kW (TO50Xo R17);5,2;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606533;Rotenso;Teta;TO70Xo R16;Teta 7,0 kW (TO70Xo R16);7,0;JZ;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615139;Rotenso;Teta;TO70Xo R17;Teta 7,0 kW (TO70Xo R17);7,0;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606496;Rotenso;Teta Mirror;TM26Xi R16;Teta Mirror 2,6 kW (TM26Xi R16);2,6;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567615092;Rotenso;Teta Mirror;TM70Xi R17;Teta Mirror 7,0 kW (TM70Xi R17);7,0;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567613807;Rotenso;Ukura;U21Xi R16;Ukura 2,1 kW (U21Xi R16);2,1;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606304;Rotenso;Ukura;U26Xi R15;Ukura 2,6 kW (U26Xi R15);2,6;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606311;Rotenso;Ukura;U26Xo R15;Ukura 2,6 kW (U26Xo R15);2,6;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606335;Rotenso;Ukura;U35Xi R15;Ukura 3,5 kW (U35Xi R15);3,5;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606342;Rotenso;Ukura;U35Xo R15;Ukura 3,5 kW (U35Xo R15);3,5;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606366;Rotenso;Ukura;U50Xi R15;Ukura 5,0 kW (U50Xi R15);5,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606373;Rotenso;Ukura;U50Xo R15;Ukura 5,0 kW (U50Xo R15);5,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606397;Rotenso;Ukura;U70Xi R15;Ukura 7,0 kW (U70Xi R15);7,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608902;Rotenso;Ukura;U70Xi R17;Ukura 7,0 kW (U70Xi R17);7,0;JW;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606403;Rotenso;Ukura;U70Xo R15;Ukura 7,0 kW (U70Xo R15);7,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567608919;Rotenso;Ukura;U70Xo R17;Ukura 7,0 kW (U70Xo R17);7,0;JZ;R17;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606649;Rotenso;Versu;VO26Xo R15;Versu 2,6 kW (VO26Xo R15);2,6;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606663;Rotenso;Versu;VO35Xo R15;Versu 3,5 kW (VO35Xo R15);3,5;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567606687;Rotenso;Versu;VO50Xo R15;Versu 5,0 kW (VO50Xo R15);5,0;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601019;Rotenso;Versu Cloth Caramel;VCC26Xi R15;Versu Cloth Caramel 2,6 kW (VCC26Xi R15);2,6;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614965;Rotenso;Versu Cloth Caramel;VCC26Xi R16;Versu Cloth Caramel 2,6 kW (VCC26Xi R16);2,6;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601088;Rotenso;Versu Cloth Stone;VCS35Xi R15;Versu Cloth Stone 3,5 kW (VCS35Xi R15);3,5;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601095;Rotenso;Versu Cloth Stone;VCS50Xi R15;Versu Cloth Stone 5,0 kW (VCS50Xi R15);5,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600890;Rotenso;Versu Mirror;VM26Xi R15;Versu Mirror 2,6 kW (VM26Xi R15);2,6;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567614859;Rotenso;Versu Mirror;VM35Xi R16;Versu Mirror 3,5 kW (VM35Xi R16);3,5;JW;R16;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600937;Rotenso;Versu Mirror;VM50Xi R15;Versu Mirror 5,0 kW (VM50Xi R15);5,0;JW;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567600968;Rotenso;Versu Pure;VP26Xo R15;Versu Pure 2,6 kW (VP26Xo R15);2,6;JZ;R15;Rotenso / Thermosilesia / zweryfikowany katalog dystrybutora
5905567601200;Rotenso;Teta Mirror;TM35Xi R16;Teta Mirror 3,5 kW (TM35Xi R16);3,5;JW;R16;Thermosilesia — oficjalna karta produktu
2411950928074;Rotenso;Teta Mirror;TM35Xi R16;Teta Mirror 3,5 kW (TM35Xi R16);3,5;JW;R16;Etykieta logistyczna urządzenia — alias potwierdzony z kodem modelu TM35Xi R16
5905567601620;Rotenso;Hiro S-Line;H40Xm2 R15;Hiro S-Line 4,1 kW (H40Xm2 R15);4,1;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567601637;Rotenso;Hiro S-Line;H50Xm2 R15;Hiro S-Line 5,3 kW (H50Xm2 R15);5,3;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606069;Rotenso;Hiro S-Line;H50Xm3 R15;Hiro S-Line 5,3 kW (H50Xm3 R15);5,3;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567601644;Rotenso;Hiro S-Line;H60Xm3 R15;Hiro S-Line 6,2 kW (H60Xm3 R15);6,2;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567601651;Rotenso;Hiro S-Line;H70Xm3 R15;Hiro S-Line 7,9 kW (H70Xm3 R15);7,9;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567601668;Rotenso;Hiro S-Line;H80Xm4 R15;Hiro S-Line 8,2 kW (H80Xm4 R15);8,2;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567601675;Rotenso;Hiro S-Line;H100Xm4 R16;Hiro S-Line 10,5 kW (H100Xm4 R16);10,5;JZ;R16;Thermosilesia — oficjalna karta produktu
5905567601682;Rotenso;Hiro S-Line;H120Xm5 R15;Hiro S-Line 12,1 kW (H120Xm5 R15);12,1;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606540;Rotenso;Hiro N-Line;HN40Xm2 R15;Hiro N-Line 4,1 kW (HN40Xm2 R15);4,1;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606557;Rotenso;Hiro N-Line;HN50Xm2 R15;Hiro N-Line 5,1 kW (HN50Xm2 R15);5,1;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606564;Rotenso;Hiro N-Line;HN70Xm3 R15;Hiro N-Line 7,9 kW (HN70Xm3 R15);7,9;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606571;Rotenso;Hiro N-Line;HN90Xm4 R15;Hiro N-Line 9,3 kW (HN90Xm4 R15);9,3;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606588;Rotenso;Hiro N-Line;HN120Xm5 R15;Hiro N-Line 12,2 kW (HN120Xm5 R15);12,2;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606076;Rotenso;Hiro HP-Line;HHP50Xm2 R15;Hiro HP-Line 5,3 kW (HHP50Xm2 R15);5,3;JZ;R15;Thermosilesia — oficjalna karta produktu
5905567606113;Rotenso;Hiro HP-Line;HHP70Xm3 R15;Hiro HP-Line 7,9 kW (HHP70Xm3 R15);7,9;JZ;R15;Thermosilesia — oficjalna karta produktu
